Euring	Sortering	Artnavn	Latin	English	Status	Type
1080	2210	Tophejre	Ardeola ralloides	Squacco Heron	AU	art
1110	2220	Kohejre	Bubulcus ibis	Western Cattle Egret	AU	art
1220	2230	Fiskehejre	Ardea cinerea	Grey Heron	A	art
1240	2240	Purpurhejre	Ardea purpurea	Purple Heron	AU	art
1210	2250	Sølvhejre	Ardea alba	Great Egret	A	art
1190	2260	Silkehejre	Egretta garzetta	Little Egret	AS	art
1420	2290	Hellig Ibis	Threskiornis aethiopicus	African Sacred Ibis	EU	art
1440	2300	Skestork	Platalea leucorodia	Eurasian Spoonbill	A	art
34130	2305	Afrikansk Skestork	Platalea alba	African Spoonbill	E	art
1360	2310	Sort Ibis	Plegadis falcinellus	Glossy Ibis	AS	art
930	2320	Pragtfregatfugl	Fregata magnificens	Magnificent Frigatebird	AU	art
710	2330	Sule	Morus bassanus	Northern Gannet	A	art
700	2335	Brun Sule	Sula leucogaster	Brown Booby	AU	art
800	2340	Topskarv	Gulosus aristotelis	European Shag	AS	art
720	2350	Skarv	Phalacrocorax carbo	Great Cormorant	A	art
2270	2390	Kalkungrib	Cathartes aura	Turkey Vulture	E	art
4590	2400	Triel	Burhinus oedicnemus	Eurasian Stone-curlew	AU	art
4500	2410	Strandskade	Haematopus ostralegus	Eurasian Oystercatcher	A	art
4560	2420	Klyde	Recurvirostra avosetta	Pied Avocet	A	art
4550	2430	Stylteløber	Himantopus himantopus	Black-winged Stilt	AS	art
4860	2440	Strandhjejle	Pluvialis squatarola	Grey Plover	A	art
4850	2450	Hjejle	Pluvialis apricaria	European Golden Plover	A	art
4845	2480	Sibirisk Hjejle	Pluvialis fulva	Pacific Golden Plover	AU	art
4840	2490	Amerikansk Hjejle	Pluvialis dominica	American Golden Plover	AU	art
4820	2510	Pomeransfugl	Charadrius morinellus	Eurasian Dotterel	AS	art
4700	2520	Stor Præstekrave	Charadrius hiaticula	Common Ringed Plover	A	art
4690	2550	Lille Præstekrave	Charadrius dubius	Little Ringed Plover	A	art
4770	2560	Hvidbrystet Præstekrave	Charadrius alexandrinus	Kentish Plover	AS	art
4786	2565	Sibirisk Præstekrave	Charadrius mongolus	Siberian Sand Plover	AU	art
4780	2570	Tibetansk Præstekrave	Charadrius atrifrons	Tibetan Sand Plover	AU	art
4790	2580	Ørkenpræstekrave	Charadrius leschenaultii	Greater Sand Plover	AU	art
4800	2585	Kaspisk Præstekrave	Charadrius asiaticus	Caspian Plover	U	art
4930	2590	Vibe	Vanellus vanellus	Northern Lapwing	A	art
4870	2600	Sporevibe	Vanellus spinosus	Spur-winged Lapwing	EU	art
4910	2610	Steppevibe	Vanellus gregarius	Sociable Lapwing	AU	art
4920	2620	Sumpvibe	Vanellus leucurus	White-tailed Lapwing	AU	art
5440	2640	Bartramsklire	Bartramia longicauda	Upland Sandpiper	AU	art
5380	2650	Småspove	Numenius phaeopus	Eurasian Whimbrel	A	art
5410	2660	Storspove	Numenius arquata	Eurasian Curlew	A	art
